Метод кодирования;Название текста;Оценка избыточности кодирования;Оценка энтропии H-1;Оценка энтропии H-2;Оценка энтропии H-3
huffman;Мартин Иден;2.3819720654888545;0.9953929201533462;0.9952767478165367;0.9951961067538188
shannon;Мартин Иден;2.8446952178336895;0.9935845941065575;0.9935357438457372;0.9928914279853981
